OrderNo|LineNumber|ProductID|VariationID|UnitPrice|UnitVat|Quantity
193-7206-9627|3|203266395|210598039|1545.0|154.5|1
451-2848-9144|8|203041178|209991217|1091.0|109.1|1
193-7206-9298|4|203185600|210444558|2180.0|218.0|1
451-2845-9048|18|203266418|210598062|409.0|40.9|1
279-5966-8098|7|13375046|39746990|11727.0|1172.7|1
451-2848-3545|1|203040890|209990926|2273.0|227.3|1
107-8432-9921|2|203266405|210598049|800.0|80.0|1
193-7199-7787|5|203041623|209991677|4545.0|454.5|1
365-4389-8164|1|203294572|210680174|5000.0|500.0|1
451-2849-0601|4|203266403|210598047|800.0|80.0|1
279-6000-0258|1|13389806|40307410|4800.0|480.0|1
451-2841-6965|2|203041174|209991213|1027.0|102.7|2
107-8440-1478|2|203041479|209991533|818.0|81.8|1
21-9262-7916|2|203294572|210680174|5000.0|500.0|1
451-2848-4337|5|203266405|210598049|800.0|80.0|1
451-2841-8272|1|203040888|209990924|2273.0|227.3|1
451-2841-6899|4|203041482|209991536|818.0|81.8|1
193-7204-5676|6|203329447|210728984|8000.0|800.0|1
279-5966-8379|4|13375036|39746677|11727.0|1172.7|1
21-9316-1793|6|14402053|40354907|2500.0|250.0|1
193-7206-2224|4|203040894|209990930|2273.0|227.3|1
451-2841-7419|1|203040890|209990926|2273.0|227.3|1
451-2841-9351|9|203126442|210206959|455.0|45.5|1
193-7207-1647|2|203266395|210598039|1491.0|149.1|1
193-7199-9363|2|203294592|210680212|3600.0|360.0|1
365-4443-4035|2|13314170|38690024|1000.0|100.0|1
451-2842-0126|1|203040890|209990926|2273.0|227.3|1
193-7199-5368|4|203041178|209991217|1091.0|109.1|1
279-5944-6609|4|203373750|210813436|682.0|68.2|2
365-4443-7275|1|13314170|38690024|1000.0|100.0|2
193-7207-1647|7|203040894|209990930|2193.0|219.3|1
365-4446-0296|2|203406530|210909529|1000.0|100.0|1
193-7214-1758|3|203266405|210598049|800.0|80.0|1
451-2848-8059|3|203266395|210598039|1545.0|154.5|1
451-2849-0601|7|202156526|207309401|800.0|80.0|1
451-2848-4958|4|203329431|210728926|591.0|59.1|1
193-7206-2224|6|203185600|210444558|2273.0|227.3|1
451-2841-8272|5|203041172|209991211|1091.0|109.1|1
193-7204-9886|2|203040894|209990930|2273.0|227.3|1
21-9316-7079|4|203263436|210588207|13091.0|1309.1|1
193-7207-1647|5|203041337|209991379|1491.0|149.1|1
451-2849-0601|1|203040894|209990930|2273.0|227.3|1
451-2847-1156|7|203041480|209991534|818.0|81.8|1
193-7214-1398|3|203040894|209990930|2080.0|208.0|1
107-8433-5288|2|203040894|209990930|2273.0|227.3|1
451-2842-0126|2|203040894|209990930|2273.0|227.3|1
451-2846-0215|4|202156571|207309446|2273.0|227.3|1
107-8432-5389|8|203266401|210598045|800.0|80.0|1
279-6000-0258|3|13314170|38690024|1000.0|100.0|2
451-2846-7565|4|203040894|209990930|2273.0|227.3|1
279-5966-8098|4|202974658|209772354|4000.0|400.0|1
107-8432-4853|6|203041620|209991674|4545.0|454.5|1
193-7204-5676|5|203185628|210444586|818.0|81.8|1
451-2846-6553|4|203294565|210680145|4401.0|440.1|1
107-8433-1571|2|202897822|209538729|1364.0|136.4|1
193-7199-9363|5|203294558|210680137|1000.0|100.0|1
451-2846-6553|3|203294578|210680196|7112.0|711.2|1
21-9262-8100|1|203294571|210680171|5000.0|500.0|1
193-7206-2884|12|203266391|210598035|1475.0|147.5|1
279-5966-9578|1|14415842|40515184|14455.0|1445.5|1
451-2848-7922|4|203329432|210728927|591.0|59.1|1
107-8430-8137|3|203041337|209991379|1545.0|154.5|1
451-2845-9048|4|203041178|209991217|1091.0|109.1|1
451-2841-8272|10|203041173|209991212|1727.0|172.7|1
451-2841-7304|10|13314999|38692709|1800.0|180.0|1
451-2848-4384|2|203329431|210728926|591.0|59.1|1
451-2848-9144|1|203041337|209991379|1545.0|154.5|1
451-2845-9048|21|202981656|209788827|5800.0|580.0|1
365-4445-4503|2|13375152|39747336|11727.0|1172.7|1
107-8440-0746|4|203040894|209990930|2273.0|227.3|1
21-9316-7079|3|13314170|38690024|1000.0|100.0|1
107-8433-5288|3|203041177|209991216|1727.0|172.7|1
451-2841-6965|4|203041335|209991377|1455.0|145.5|1
107-8426-0366|2|203041337|209991379|1403.0|140.3|1
193-7213-8323|1|203040894|209990930|2273.0|227.3|1
193-7207-0290|5|203185644|210444602|2035.0|203.5|1
193-7204-9886|1|203185593|210444551|2273.0|227.3|1
279-5998-3424|2|13310803|38676035|9000.0|900.0|1
451-2841-7304|8|203041480|209991534|818.0|81.8|1
451-2847-1156|5|203040890|209990926|2273.0|227.3|1
193-7207-0111|1|203040894|209990930|2273.0|227.3|1
193-7214-1526|9|203102836|210134243|727.0|72.7|1
365-4389-7282|1|203294572|210680175|4849.0|484.9|1
365-4442-1590|3|201108952|203928737|2727.0|272.7|1
193-7207-0290|4|203040888|209990924|2119.0|211.9|1
451-2848-4958|9|203041178|209991217|1091.0|109.1|1
193-7199-8383|1|203294565|210680145|4304.0|430.4|1
451-2846-7565|1|203329431|210728926|591.0|59.1|1
107-8432-4853|8|203041334|209991376|1545.0|154.5|1
279-6000-0959|5|13310803|38676035|9000.0|900.0|1
451-2847-1156|1|202991122|209815412|1182.0|118.2|1
107-8430-3144|13|203266410|210598054|409.0|40.9|1
193-7203-9253|5|203040894|209990930|2272.5|227.25|2
451-2846-6553|2|203041623|209991677|4445.0|444.5|1
107-8440-2820|1|203040894|209990930|2273.0|227.3|1
279-6000-0258|2|201172850|204166423|1364.0|136.4|1
365-4445-4776|3|13310803|38676096|9000.0|900.0|2
365-4389-7282|2|203294571|210680171|4848.0|484.8|1
107-8430-3144|4|203193554|210467133|900.0|90.0|1
193-7203-9253|3|203329419|210728914|1091.0|109.1|2
451-2848-4384|1|203040894|209990930|2273.0|227.3|1
451-2841-7419|3|203041173|209991212|1727.0|172.7|1
107-8432-2120|6|203329448|210728985|5000.0|500.0|1
107-8433-1164|8|202991122|209815412|1182.0|118.2|1
451-2856-1910|2|203040894|209990930|2273.0|227.3|1
451-2842-0126|4|203266421|210598065|818.0|81.8|1
107-8432-4853|10|203041479|209991533|818.0|81.8|1
279-5967-3414|3|13378227|39760802|11727.0|1172.7|1
21-9316-2034|2|13314170|38690024|1000.0|100.0|1
193-7207-2445|3|203266405|210598049|800.0|80.0|1
107-8432-4853|12|203266391|210598035|1545.0|154.5|1
